Date,Open,High,Low,Close
2016-05-27,4.4079,4.41274,4.3839,4.38639
2016-05-30,4.38853,4.401,4.38669,4.39392
2016-05-31,4.39525,4.39941,4.37674,4.38625
2016-06-01,4.38625,4.39877,4.38314,4.38447
2016-06-02,4.38459,4.39876,4.38165,4.38516
2016-06-03,4.38545,4.40352,4.37489,4.38616
2016-06-06,4.38284,4.39644,4.35357,4.35692
2016-06-07,4.35692,4.35979,4.34117,4.35341
2016-06-08,4.35351,4.3564,4.31467,4.3213
2016-06-09,4.32152,4.3404,4.31918,4.33559
2016-06-10,4.33539,4.37816,4.33413,4.37514
2016-06-13,4.36911,4.41806,4.36653,4.41284
2016-06-14,4.41279,4.44364,4.41143,4.43063
2016-06-15,4.43062,4.43647,4.40532,4.42666
2016-06-16,4.42676,4.45646,4.40299,4.42723
2016-06-17,4.42728,4.44843,4.41017,4.42015
2016-06-20,4.42159,4.42222,4.38067,4.38815
2016-06-21,4.38833,4.42713,4.3807,4.3993
2016-06-22,4.3993,4.40762,4.36731,4.3714
2016-06-23,4.37134,4.38705,4.32241,4.33946
2016-06-24,4.33941,4.52995,4.32471,4.4496
2016-06-27,4.44593,4.47096,4.41076,4.46282
2016-06-28,4.46326,4.47197,4.41956,4.42726
2016-06-29,4.42697,4.43606,4.40871,4.42188
2016-06-30,4.42157,4.44118,4.36494,4.37276
2016-07-01,4.37267,4.41795,4.37015,4.41143
2016-07-04,4.41071,4.43872,4.3994,4.43622
2016-07-05,4.4363,4.45647,4.43518,4.43963
2016-07-06,4.43948,4.45667,4.43243,4.44127
2016-07-07,4.4412,4.44619,4.42128,4.42725
2016-07-08,4.42727,4.43667,4.40953,4.41266
2016-07-11,4.41124,4.43347,4.40744,4.42616
2016-07-12,4.42701,4.42977,4.39231,4.39508
2016-07-13,4.39508,4.41613,4.39508,4.40627
2016-07-14,4.40612,4.41789,4.38996,4.40877
2016-07-15,4.40892,4.41746,4.40761,4.41039
2016-07-18,4.42286,4.4238,4.36728,4.36958
2016-07-19,4.36996,4.39074,4.36701,4.38055
2016-07-20,4.38149,4.38419,4.36497,4.37036
2016-07-21,4.37041,4.37242,4.35418,4.35944
2016-07-22,4.35983,4.36892,4.35112,4.358
2016-07-25,4.36386,4.36833,4.35428,4.36063
2016-07-26,4.36089,4.37116,4.35383,4.36005
2016-07-27,4.36051,4.38083,4.35827,4.36982
2016-07-28,4.36982,4.38221,4.35787,4.36387
2016-07-29,4.36348,4.37594,4.35239,4.35588
2016-08-01,4.35823,4.36299,4.35065,4.35998
2016-08-02,4.35954,4.36353,4.32101,4.32466
2016-08-03,4.32494,4.32685,4.2765,4.28017
2016-08-04,4.28024,4.3034,4.28008,4.28748
2016-08-05,4.28748,4.29845,4.26537,4.27974
2016-08-08,4.2814,4.29116,4.26402,4.27144
2016-08-09,4.27154,4.27192,4.25843,4.26193
2016-08-10,4.26106,4.27051,4.25894,4.26479
2016-08-11,4.26479,4.26966,4.25585,4.26275
2016-08-12,4.26248,4.27432,4.25605,4.27301
2016-08-15,4.26844,4.27807,4.26177,4.26913
2016-08-16,4.26885,4.28125,4.25623,4.27341
2016-08-17,4.27351,4.30234,4.27173,4.28965
2016-08-18,4.28951,4.29906,4.28013,4.29086
2016-08-19,4.29081,4.31652,4.28692,4.31438
2016-08-22,4.30879,4.31575,4.29924,4.31013
2016-08-23,4.30959,4.31499,4.29515,4.30972
2016-08-24,4.30972,4.31343,4.29995,4.30908
2016-08-25,4.309,4.33524,4.3015,4.33268
2016-08-26,4.33274,4.33597,4.30743,4.33057
2016-08-29,4.32613,4.34725,4.3176,4.34347
2016-08-30,4.34341,4.36539,4.335,4.35837
2016-08-31,4.35837,4.36895,4.34598,4.36284
2016-09-01,4.36284,4.37821,4.35443,4.36106
2016-09-02,4.36062,4.40382,4.35669,4.36619
2016-09-05,4.37012,4.37052,4.33804,4.34191
2016-09-06,4.34192,4.34666,4.33014,4.33348
2016-09-07,4.33345,4.33619,4.31743,4.3198
2016-09-08,4.31997,4.3283,4.3052,4.32669
2016-09-09,4.32664,4.34549,4.32277,4.33888
2016-09-12,4.33233,4.35866,4.33128,4.34898
2016-09-13,4.34898,4.35733,4.34121,4.35376
2016-09-14,4.35376,4.35504,4.33461,4.33708
2016-09-15,4.33701,4.34128,4.31579,4.32826
2016-09-16,4.32826,4.33261,4.30745,4.31021
2016-09-19,4.30981,4.31325,4.28987,4.29752
2016-09-20,4.29762,4.30895,4.29148,4.30182
2016-09-21,4.30158,4.30705,4.28562,4.28966
2016-09-22,4.2895,4.29142,4.27554,4.28121
2016-09-23,4.28093,4.30803,4.27369,4.30114
2016-09-26,4.29942,4.31118,4.2921,4.29538
2016-09-27,4.29538,4.29904,4.27526,4.28225
2016-09-28,4.28202,4.30068,4.28035,4.29605
2016-09-29,4.29601,4.31296,4.29156,4.30279
2016-09-30,4.30283,4.31931,4.29508,4.29529
2016-10-03,4.29699,4.30328,4.28878,4.2959
2016-10-04,4.29601,4.31296,4.28772,4.30698
2016-10-05,4.30691,4.31539,4.29052,4.29957
2016-10-06,4.29947,4.30357,4.27671,4.27747
2016-10-07,4.27767,4.29182,4.27201,4.28391
2016-10-10,4.28303,4.2867,4.26293,4.26517
2016-10-11,4.26535,4.28953,4.2642,4.28476
2016-10-12,4.28428,4.30872,4.27928,4.29539
2016-10-13,4.29546,4.31334,4.28771,4.29483
2016-10-14,4.29483,4.30948,4.28855,4.3089
2016-10-17,4.30984,4.33742,4.30737,4.32176
2016-10-18,4.32177,4.32477,4.30869,4.31416
2016-10-19,4.31411,4.32469,4.3077,4.31135
2016-10-20,4.31135,4.33371,4.30855,4.31696
2016-10-21,4.31731,4.33365,4.31475,4.33028
2016-10-24,4.32763,4.33229,4.31099,4.32033
2016-10-25,4.32033,4.32268,4.30268,4.31882
2016-10-26,4.31877,4.33306,4.31325,4.32587
2016-10-27,4.32588,4.34501,4.32024,4.33713
2016-10-28,4.33775,4.34163,4.31924,4.33806
2016-10-31,4.33575,4.33644,4.30414,4.30713
2016-11-01,4.30718,4.31528,4.29479,4.30148
2016-11-02,4.30154,4.33543,4.30118,4.32516
2016-11-03,4.32516,4.33039,4.31077,4.31618
2016-11-04,4.31669,4.33087,4.31235,4.32845
2016-11-07,4.32534,4.33559,4.31834,4.32916
2016-11-08,4.32929,4.33677,4.32377,4.32907
2016-11-09,4.32907,4.35522,4.31644,4.3424
2016-11-10,4.34263,4.38431,4.33409,4.3703
2016-11-11,4.37016,4.44797,4.37004,4.42109
2016-11-14,4.42797,4.43613,4.38747,4.42231
2016-11-15,4.42279,4.4358,4.39407,4.40803
2016-11-16,4.40803,4.46144,4.4007,4.45277
2016-11-17,4.45277,4.45875,4.42808,4.43886
2016-11-18,4.43881,4.45726,4.43433,4.43921
2016-11-21,4.44223,4.4426,4.42343,4.42749
2016-11-22,4.42755,4.43136,4.40826,4.41701
2016-11-23,4.41706,4.43915,4.40379,4.43288
2016-11-24,4.43263,4.43629,4.4172,4.42267
2016-11-25,4.42272,4.42795,4.40827,4.41938
2016-11-28,4.41717,4.4306,4.40992,4.42195
2016-11-29,4.42154,4.44022,4.4197,4.43487
2016-11-30,4.43479,4.45867,4.43424,4.4554
2016-12-01,4.4554,4.4927,4.44636,4.49033
2016-12-02,4.49042,4.49598,4.48078,4.48363
2016-12-05,4.48366,4.50658,4.48029,4.49742
2016-12-06,4.49748,4.50644,4.45434,4.45907
2016-12-07,4.45895,4.46881,4.41956,4.43308
2016-12-08,4.43308,4.47535,4.4262,4.44137
2016-12-09,4.44137,4.46031,4.43288,4.45059
2016-12-12,4.44519,4.46012,4.44194,4.45048
2016-12-13,4.45053,4.45569,4.42368,4.42505
2016-12-14,4.42505,4.44567,4.41843,4.4361
2016-12-15,4.43582,4.45941,4.42493,4.43328
2016-12-16,4.43317,4.43871,4.40978,4.4181
2016-12-19,4.42511,4.43391,4.40249,4.42285
2016-12-20,4.41988,4.43186,4.40452,4.40921
2016-12-21,4.40909,4.41877,4.40291,4.41212
2016-12-22,4.41094,4.42622,4.40415,4.42009
2016-12-23,4.42008,4.42466,4.39864,4.40533
2016-12-27,4.40876,4.4172,4.39352,4.40034
2016-12-28,4.4002,4.41496,4.39347,4.40621
2016-12-29,4.40684,4.42058,4.40276,4.40669
2016-12-30,4.40669,4.4349,4.40176,4.40511
2017-01-02,4.41105,4.42163,4.40229,4.41213
2017-01-03,4.41213,4.41303,4.38407,4.38754
2017-01-04,4.38792,4.39034,4.36433,4.36891
2017-01-05,4.36888,4.38275,4.36096,4.36464
2017-01-06,4.36467,4.36903,4.34878,4.35654
2017-01-09,4.35857,4.38484,4.35535,4.38121
2017-01-10,4.38126,4.3836,4.36399,4.37276
2017-01-11,4.37365,4.37603,4.36593,4.37158
2017-01-12,4.37153,4.38051,4.36725,4.37377
2017-01-13,4.36891,4.39281,4.36289,4.38251
2017-01-16,4.38271,4.38784,4.37181,4.37402
2017-01-17,4.37407,4.37831,4.36095,4.36316
2017-01-18,4.36254,4.37894,4.35826,4.36051
2017-01-19,4.36055,4.37678,4.35836,4.37286
2017-01-20,4.37348,4.37509,4.36439,4.36981
2017-01-23,4.3694,4.37583,4.36586,4.37182
2017-01-24,4.37153,4.37736,4.36723,4.37101
2017-01-25,4.37176,4.37196,4.35203,4.35498
2017-01-26,4.35436,4.35862,4.33758,4.34504
2017-01-27,4.34519,4.35028,4.32771,4.33544
2017-01-30,4.33489,4.33865,4.323,4.33406
2017-01-31,4.33403,4.33897,4.31727,4.32136
2017-02-01,4.32126,4.32662,4.30419,4.3053
2017-02-02,4.30519,4.32011,4.30068,4.31484
2017-02-03,4.31507,4.31847,4.28697,4.30512
2017-02-06,4.30238,4.30637,4.27599,4.29535
2017-02-07,4.29551,4.31076,4.27337,4.30476
2017-02-08,4.30476,4.32074,4.29668,4.31552
2017-02-09,4.31548,4.32478,4.30647,4.31676
2017-02-10,4.31684,4.31684,4.28763,4.2959
2017-02-13,4.29635,4.32295,4.29322,4.31225
2017-02-14,4.31168,4.31888,4.29502,4.30318
2017-02-15,4.30311,4.3175,4.29758,4.31079
2017-02-16,4.31065,4.32281,4.31043,4.31513
2017-02-17,4.31515,4.33725,4.31082,4.32979
2017-02-20,4.3291,4.33314,4.31399,4.31922
2017-02-21,4.31927,4.31943,4.29356,4.29588
2017-02-22,4.29561,4.31117,4.288,4.29892
2017-02-23,4.29889,4.31249,4.29556,4.30182
2017-02-24,4.30193,4.31837,4.30168,4.31408
2017-02-27,4.31441,4.31879,4.30898,4.31195
2017-02-28,4.31189,4.32062,4.30289,4.30565
2017-03-01,4.30571,4.30817,4.27702,4.28072
2017-03-02,4.28072,4.30481,4.27714,4.29699
2017-03-03,4.2972,4.3147,4.28854,4.30339
2017-03-06,4.3008,4.31726,4.29942,4.30683
2017-03-07,4.3067,4.31417,4.30133,4.30491
2017-03-08,4.30519,4.31405,4.30072,4.3096
2017-03-09,4.30963,4.32648,4.30776,4.32586
2017-03-10,4.32685,4.33977,4.3177,4.33844
2017-03-13,4.33434,4.35358,4.32122,4.33067
2017-03-14,4.33035,4.33932,4.31347,4.31769
2017-03-15,4.31769,4.32468,4.30455,4.31042
2017-03-16,4.31049,4.31775,4.29044,4.30906
2017-03-17,4.30911,4.3102,4.27849,4.28249
2017-03-20,4.28443,4.29151,4.25649,4.26553
2017-03-21,4.26558,4.27902,4.25945,4.27743
2017-03-22,4.27751,4.28834,4.27276,4.27969
2017-03-23,4.27976,4.28243,4.2608,4.26534
2017-03-24,4.26529,4.27649,4.25862,4.26123
2017-03-27,4.26613,4.27434,4.24281,4.24781
2017-03-28,4.24786,4.25523,4.23141,4.24084
2017-03-29,4.24081,4.24445,4.21361,4.2263
2017-03-30,4.2263,4.23467,4.21004,4.21187
2017-03-31,4.2117,4.24124,4.21072,4.23042
2017-04-03,4.23479,4.24864,4.22057,4.23468
2017-04-04,4.23467,4.26277,4.23301,4.25162
2017-04-05,4.25165,4.25352,4.22526,4.23168
2017-04-06,4.2315,4.24194,4.21918,4.23581
2017-04-07,4.2356,4.23803,4.21315,4.22569
2017-04-10,4.22118,4.24063,4.21902,4.23472
2017-04-11,4.23483,4.25152,4.2327,4.24685
2017-04-12,4.24685,4.2519,4.24141,4.24674
2017-04-13,4.24687,4.25186,4.23901,4.2478
2017-04-14,4.24819,4.25011,4.23331,4.2404
2017-04-17,4.2325,4.25422,4.23009,4.24343
2017-04-18,4.2424,4.24892,4.22829,4.2301
2017-04-19,4.23015,4.25904,4.229,4.2571
2017-04-20,4.25717,4.27576,4.25232,4.26739
2017-04-21,4.26762,4.28373,4.25846,4.26772
2017-04-24,4.24157,4.26209,4.22418,4.24419
2017-04-25,4.2442,4.24589,4.21964,4.22056
2017-04-26,4.22082,4.23055,4.22011,4.22504
2017-04-27,4.22473,4.23053,4.2167,4.22045
2017-04-28,4.22033,4.22923,4.21282,4.22525
2017-05-02,4.2223,4.22707,4.19783,4.20311
2017-05-03,4.20327,4.21014,4.18737,4.20739
2017-05-04,4.20776,4.23633,4.19981,4.2303
2017-05-05,4.22984,4.23063,4.20367,4.20586
2017-05-08,4.21133,4.23392,4.18814,4.22972
2017-05-09,4.22995,4.24033,4.21693,4.2286
2017-05-10,4.22868,4.23426,4.20763,4.21068
2017-05-11,4.21068,4.2297,4.20746,4.22604
2017-05-12,4.2262,4.22727,4.21229,4.21638
2017-05-15,4.20952,4.21705,4.19534,4.19796
2017-05-16,4.19796,4.2041,4.15162,4.17251
2017-05-17,4.17118,4.1978,4.1668,4.18607
2017-05-18,4.1873,4.22899,4.18444,4.21812
2017-05-19,4.21768,4.22043,4.19117,4.19387
2017-05-22,4.19921,4.2025,4.18542,4.19679
2017-05-23,4.19691,4.20677,4.19368,4.19975
2017-05-24,4.20183,4.20573,4.17261,4.17433
2017-05-25,4.17422,4.18268,4.16475,4.17457
2017-05-26,4.17489,4.18846,4.1697,4.18436
2017-05-29,4.18039,4.18863,4.16894,4.178
2017-05-30,4.17802,4.18927,4.16866,4.17431
2017-05-31,4.17441,4.18675,4.16788,4.1819
2017-06-01,4.18134,4.20367,4.1777,4.19303
2017-06-02,4.19312,4.20016,4.17954,4.18308
2017-06-05,4.18289,4.1964,4.17388,4.18847
2017-06-06,4.18848,4.20594,4.18549,4.19339
2017-06-07,4.19351,4.21189,4.1888,4.20777
2017-06-08,4.20778,4.21248,4.19362,4.19888
2017-06-09,4.19886,4.20949,4.18185,4.18682
2017-06-12,4.18482,4.19845,4.17876,4.19397
2017-06-13,4.19325,4.19569,4.18938,4.19375
2017-06-14,4.1937,4.20379,4.18849,4.19711
2017-06-15,4.19706,4.24201,4.19246,4.23415
2017-06-16,4.23418,4.23588,4.2059,4.20973
2017-06-19,4.21125,4.2215,4.20427,4.21777
2017-06-20,4.21759,4.24976,4.21378,4.24705
2017-06-21,4.24705,4.25789,4.23263,4.25395
2017-06-22,4.25397,4.26216,4.22136,4.22227
2017-06-23,4.22227,4.24388,4.2216,4.223
2017-06-26,4.22639,4.22862,4.19972,4.20244
2017-06-27,4.20246,4.24337,4.20238,4.24152
2017-06-28,4.24157,4.24831,4.22005,4.22952
2017-06-29,4.22967,4.24972,4.2273,4.24208
2017-06-30,4.24219,4.24455,4.22015,4.23179
2017-07-03,4.23285,4.25268,4.22761,4.24737
2017-07-04,4.2472,4.25034,4.23337,4.23443
2017-07-05,4.23451,4.25311,4.22578,4.23043
2017-07-06,4.23043,4.25084,4.22697,4.24041
2017-07-07,4.24045,4.24313,4.22564,4.23326
2017-07-10,4.24085,4.24085,4.23053,4.23717
2017-07-11,4.23711,4.24993,4.23585,4.23903
2017-07-12,4.23903,4.24766,4.22856,4.23153
2017-07-13,4.23162,4.23666,4.21959,4.22425
2017-07-14,4.22411,4.22521,4.20273,4.20351
2017-07-17,4.20834,4.21334,4.20152,4.20253
2017-07-18,4.20261,4.20745,4.19654,4.20124
2017-07-19,4.20112,4.21726,4.19743,4.20862
2017-07-20,4.20862,4.21645,4.20488,4.21301
2017-07-21,4.21296,4.26917,4.21196,4.26833
2017-07-24,4.26731,4.27102,4.23241,4.26351
2017-07-25,4.26355,4.26542,4.24764,4.26174
2017-07-26,4.26185,4.26722,4.24203,4.24905
2017-07-27,4.24907,4.26764,4.24691,4.25024
2017-07-28,4.25022,4.263,4.24597,4.2543
2017-07-31,4.25633,4.26099,4.24478,4.25472
2017-08-01,4.2538,4.26298,4.24834,4.25259
2017-08-02,4.25262,4.26165,4.24905,4.25793
2017-08-03,4.2578,4.26069,4.23937,4.24283
2017-08-04,4.24232,4.24625,4.23568,4.24495
2017-08-07,4.23966,4.2542,4.23925,4.25211
2017-08-08,4.25206,4.26623,4.25186,4.26438
2017-08-09,4.26435,4.2724,4.25752,4.26705
2017-08-10,4.26705,4.28421,4.2666,4.27945
2017-08-11,4.2795,4.29772,4.2755,4.28678
2017-08-14,4.29078,4.29318,4.27797,4.28556
2017-08-15,4.28562,4.29591,4.27051,4.29015
2017-08-16,4.29003,4.29267,4.25946,4.26838
2017-08-17,4.26819,4.27462,4.25311,4.269
2017-08-18,4.26887,4.28566,4.26237,4.27113
2017-08-21,4.27587,4.28145,4.26813,4.27848
2017-08-22,4.27856,4.28184,4.26951,4.27314
2017-08-23,4.27315,4.28839,4.27163,4.28587
2017-08-24,4.28586,4.2884,4.25782,4.2612
2017-08-25,4.26125,4.26316,4.24692,4.26025
2017-08-28,4.24838,4.2665,4.24333,4.25276
2017-08-29,4.25269,4.2716,4.24749,4.25466
2017-08-30,4.25461,4.26451,4.25262,4.25496
2017-08-31,4.25482,4.26401,4.24396,4.24787
2017-09-01,4.248,4.25811,4.23024,4.25417
2017-09-04,4.25603,4.26462,4.23685,4.24084
2017-09-05,4.24082,4.24414,4.23029,4.23335
2017-09-06,4.23341,4.25431,4.23169,4.24559
2017-09-07,4.24509,4.25938,4.23944,4.25102
2017-09-08,4.25076,4.25776,4.24361,4.24408
2017-09-11,4.24518,4.2539,4.23952,4.24545
2017-09-12,4.24525,4.26836,4.24432,4.25736
2017-09-13,4.25736,4.28596,4.25574,4.28265
2017-09-14,4.28153,4.2904,4.27284,4.27828
2017-09-15,4.27817,4.28349,4.26593,4.27943
2017-09-18,4.27733,4.29561,4.27472,4.29191
2017-09-19,4.29185,4.29592,4.27437,4.28131
2017-09-20,4.2814,4.2878,4.26979,4.27867
2017-09-21,4.27862,4.2893,4.26696,4.27385
2017-09-22,4.27392,4.27955,4.26084,4.26781
2017-09-25,4.27022,4.28386,4.26441,4.27635
2017-09-26,4.27647,4.29562,4.27132,4.29058
2017-09-27,4.29063,4.32585,4.28363,4.32447
2017-09-28,4.32463,4.33261,4.30542,4.3156
2017-09-29,4.3155,4.31904,4.29288,4.3131
2017-10-02,4.31042,4.32169,4.30002,4.3101
2017-10-03,4.31015,4.3194,4.30056,4.3152
2017-10-04,4.31511,4.32527,4.29351,4.29749
2017-10-05,4.29758,4.30722,4.29336,4.30321
2017-10-06,4.30336,4.31778,4.29821,4.31119
2017-10-09,4.31268,4.31756,4.29654,4.29851
2017-10-10,4.29851,4.30593,4.2858,4.2943
2017-10-11,4.29477,4.29746,4.26547,4.26991
2017-10-12,4.26986,4.28157,4.26655,4.26753
2017-10-13,4.26761,4.2703,4.24474,4.24888
2017-10-16,4.25121,4.25346,4.22715,4.2336
2017-10-17,4.23368,4.23932,4.22105,4.2367
2017-10-18,4.23677,4.23782,4.22498,4.23487
2017-10-19,4.2349,4.24382,4.2302,4.23525
2017-10-20,4.23524,4.2479,4.22744,4.23571
2017-10-23,4.23287,4.24248,4.22069,4.2295
2017-10-24,4.22956,4.24898,4.22686,4.24524
2017-10-25,4.24529,4.24912,4.2286,4.2418
2017-10-26,4.24192,4.25528,4.23219,4.25489
2017-10-27,4.25479,4.26387,4.24233,4.24646
2017-10-30,4.24823,4.25103,4.23865,4.25046
2017-10-31,4.2504,4.25081,4.23665,4.23899
2017-11-01,4.23905,4.24147,4.2304,4.23403
2017-11-02,4.23396,4.24146,4.23007,4.23425
2017-11-03,4.23425,4.24931,4.23353,4.24491
2017-11-06,4.24487,4.24872,4.23596,4.23851
2017-11-07,4.23851,4.24831,4.2322,4.2434
2017-11-08,4.2434,4.24543,4.22976,4.23715
2017-11-09,4.23689,4.23944,4.22744,4.23025
2017-11-10,4.23041,4.23569,4.22307,4.22737
2017-11-13,4.22637,4.24033,4.22357,4.23613
2017-11-14,4.23621,4.25035,4.2277,4.24858
2017-11-15,4.24863,4.25084,4.23916,4.24306
2017-11-16,4.24316,4.24441,4.23036,4.23787
2017-11-17,4.23789,4.24507,4.23169,4.23327
2017-11-20,4.23524,4.23829,4.22674,4.22909
2017-11-21,4.22902,4.23609,4.21577,4.21921
2017-11-22,4.22005,4.22155,4.20477,4.21289
2017-11-23,4.21322,4.21766,4.20436,4.20884
2017-11-24,4.20854,4.21349,4.20423,4.20858
2017-11-27,4.21006,4.21242,4.20075,4.20921
2017-11-28,4.20937,4.21142,4.20017,4.20329
2017-11-29,4.20338,4.2044,4.18731,4.20188
2017-11-30,4.20227,4.20897,4.19437,4.2026
2017-12-01,4.20276,4.21594,4.20111,4.21399
2017-12-04,4.20957,4.21316,4.19818,4.2083
2017-12-05,4.20772,4.21138,4.19907,4.20928
2017-12-06,4.20924,4.21751,4.2077,4.21286
2017-12-07,4.21301,4.21657,4.20501,4.20981
2017-12-08,4.20823,4.21069,4.19486,4.19872
2017-12-11,4.19653,4.21168,4.19496,4.19947
2017-12-12,4.19914,4.21885,4.19768,4.20866
2017-12-13,4.20905,4.22197,4.20745,4.21759
2017-12-14,4.21746,4.22534,4.21593,4.22345
2017-12-15,4.22353,4.22402,4.20433,4.20526
2017-12-18,4.21318,4.215,4.19847,4.20723
2017-12-19,4.20596,4.20922,4.1953,4.20126
2017-12-20,4.20117,4.20902,4.19642,4.20472
2017-12-21,4.20481,4.2057,4.19277,4.19635
2017-12-22,4.19677,4.20119,4.18975,4.19111
2017-12-26,4.19588,4.20251,4.1901,4.19759
2017-12-27,4.19916,4.20058,4.18689,4.18972
2017-12-28,4.19019,4.19277,4.17465,4.17891
2017-12-29,4.17933,4.18477,4.16843,4.17669
2018-01-02,4.17655,4.179,4.1604,4.16164
2018-01-03,4.16158,4.17135,4.14694,4.14785
